#REKENINGNUMMER;YEAR_FEE;GROS_FEE;NET_FEE;BTW
1016265;2021;62.46;51.62;10.84
1016267;2021;100.73;83.25;17.48
1016273;2021;280.17;231.54;48.63
1016276;2021;149.01;123.15;25.86
1016278;2021;383.2;316.69;66.51
1016288;2021;137.74;113.83;23.91
1016289;2021;200.82;165.97;34.85
1016304;2021;190.06;157.07;32.99
1016306;2021;645.39;533.39;112
1016308;2021;159.61;131.91;27.7
1016309;2021;245.7;203.06;42.64
1016311;2021;940.37;777.16;163.21
1016314;2021;249;205.78;43.22
1016315;2021;539.28;445.69;93.59
1016316;2021;93.27;77.08;16.19
1016324;2021;480.89;397.43;83.46
1016325;2021;228.47;188.81;39.66
1016326;2021;1704.7;1408.83;295.87
1016330;2021;179.81;148.61;31.2
1016337;2021;319.98;264.44;55.54
1016342;2021;160.02;132.25;27.77
1016345;2021;136.61;112.91;23.7
1016349;2021;524.26;433.27;90.99
1016350;2021;62.89;51.98;10.91
1016356;2021;130.63;107.96;22.67
1016364;2021;205.16;169.56;35.6
1016368;2021;127.65;105.49;22.16
1016384;2021;100.25;82.85;17.4
1016385;2021;179.11;148.02;31.09
1016386;2021;3.67;3.03;0.64
1016387;2021;199.85;165.17;34.68
1016397;2021;366.8;303.14;63.66
1016408;2021;97.23;80.35;16.88
1016409;2021;153.16;126.57;26.59
1016423;2021;450.23;372.09;78.14
1016425;2021;113.27;93.62;19.65
1016427;2021;497.95;411.52;86.43
1016432;2021;104.2;86.12;18.08
1016448;2021;784.39;648.26;136.13
1016450;2021;316.34;261.43;54.91
1016451;2021;267.95;221.44;46.51
1016452;2021;72.79;60.15;12.64
1016454;2021;149.61;123.64;25.97
1016465;2021;145.61;120.34;25.27
1016467;2021;157.23;129.94;27.29
1016471;2021;65.34;54;11.34
1016472;2021;465.37;384.61;80.76
1016473;2021;271.51;224.39;47.12
1016485;2021;297.64;245.98;51.66
1016487;2021;634.77;524.61;110.16
1016496;2021;534.22;441.5;92.72
1016519;2021;537.12;443.9;93.22
1016521;2021;114.94;94.99;19.95
1016522;2021;217.15;179.46;37.69
1016528;2021;1484.94;1227.23;257.71
1016535;2021;128.62;106.29;22.33
1016554;2021;390.43;322.66;67.77
1016558;2021;128.48;106.17;22.31
1016561;2021;60.64;50.11;10.53
1016566;2021;646.81;534.56;112.25
1016574;2021;658.41;544.14;114.27
1016587;2021;165.32;136.63;28.69
1016588;2021;687;567.76;119.24
1016603;2021;185.63;153.41;32.22
1016619;2021;432;357.02;74.98
1016623;2021;84.96;70.22;14.74
1016630;2021;115.77;95.68;20.09
1016650;2021;345.72;285.72;60
1016651;2021;201.78;166.76;35.02
1016653;2021;29.21;24.15;5.06
1016654;2021;82.93;68.53;14.4
1016676;2021;205.21;169.6;35.61
1016687;2021;119.66;98.89;20.77
1016693;2021;2.42;2;0.42
1016694;2021;160.37;132.54;27.83
1016695;2021;462.44;382.19;80.25
1016697;2021;158.76;131.2;27.56
1016698;2021;228.31;188.68;39.63
1016726;2021;649.97;537.17;112.8
1016730;2021;207.09;171.14;35.95
1016734;2021;983.95;813.18;170.77
1016753;2021;779.94;644.59;135.35
1016771;2021;72.2;59.67;12.53
1016779;2021;92.49;76.44;16.05
1016785;2021;248.85;205.66;43.19
1016812;2021;91.23;75.4;15.83
1016816;2021;177.45;146.64;30.81
1016826;2021;6193.37;5118.49;1074.88
1016827;2021;178.9;147.85;31.05
1016828;2021;149.74;123.75;25.99
1016829;2021;7.1;5.87;1.23
1016830;2021;178.37;147.41;30.96
1016831;2021;77.29;63.88;13.41
1016895;2021;432.34;357.31;75.03
1016903;2021;3707.55;3064.09;643.46
1016904;2021;1247.13;1030.69;216.44
1016905;2021;245.56;202.93;42.63
1016906;2021;169.49;140.08;29.41
1016927;2021;86.08;71.14;14.94
1016928;2021;268.96;222.28;46.68
1016929;2021;62.34;51.52;10.82
1016935;2021;190.07;157.09;32.98
1016946;2021;384.19;317.51;66.68
1016947;2021;702.25;580.36;121.89
1016948;2021;1.17;0.97;0.2
1016949;2021;2121.4;1753.23;368.17
1016975;2021;160.29;132.47;27.82
1016979;2021;184.7;152.65;32.05
1016996;2021;751.75;621.28;130.47
1017001;2021;103.69;85.7;17.99
1017012;2021;166.62;137.7;28.92
1017015;2021;139.66;115.42;24.24
1017035;2021;260.23;215.07;45.16
1017060;2021;71.09;58.75;12.34
1017061;2021;73.68;60.89;12.79
1017071;2021;65.11;53.81;11.3
1017077;2021;256.22;211.75;44.47
1017079;2021;106.12;87.7;18.42
1017095;2021;51.03;42.17;8.86
1017114;2021;226.28;187;39.28
1017120;2021;33.29;27.52;5.77
1017121;2021;10.52;8.69;1.83
1017122;2021;166.74;137.8;28.94
1017127;2021;334.88;276.76;58.12
1017143;2021;480.32;396.95;83.37
1017144;2021;244.19;201.81;42.38
1017164;2021;81.44;67.3;14.14
1017166;2021;107.96;89.23;18.73
1017168;2021;618.17;510.89;107.28
1017176;2021;101.82;84.15;17.67
1017188;2021;233.91;193.32;40.59
1017191;2021;93.23;77.05;16.18
1017205;2021;54.81;45.3;9.51
1017223;2021;20.72;17.13;3.59
1017224;2021;67.72;55.97;11.75
1017225;2021;235.2;194.38;40.82
1017226;2021;177.04;146.31;30.73
1017253;2021;296.51;245.05;51.46
1017265;2021;114.35;94.5;19.85
1017278;2021;1314.44;1086.32;228.12
1017280;2021;157.85;130.45;27.4
1017281;2021;303.96;251.21;52.75
1017291;2021;123.74;102.27;21.47
1017312;2021;326.32;269.68;56.64
1017334;2021;601.83;497.38;104.45
1017336;2021;77.21;63.81;13.4
1017337;2021;153.67;126.99;26.68
1017368;2021;132.6;109.59;23.01
1017369;2021;317.13;262.09;55.04
1017392;2021;180.11;148.86;31.25
1017393;2021;57.9;47.85;10.05
1017394;2021;669.79;553.55;116.24
1017395;2021;28.46;23.52;4.94
1017406;2021;61.02;50.44;10.58
1017407;2021;337.53;278.95;58.58
1017415;2021;391.73;323.74;67.99
1017429;2021;589.16;486.92;102.24
1017439;2021;510.1;421.57;88.53
1017441;2021;808.74;668.39;140.35
1017442;2021;231.42;191.26;40.16
1017444;2021;672.66;555.91;116.75
1017459;2021;411.63;340.19;71.44
1017487;2021;66.62;55.07;11.55
1017519;2021;82.76;68.4;14.36
1017526;2021;351.55;290.54;61.01
1017529;2021;515.14;425.74;89.4
1017530;2021;114.71;94.8;19.91
1017531;2021;66.85;55.24;11.61
1017532;2021;135.32;111.84;23.48
1017533;2021;61.59;50.89;10.7
1017544;2021;197.06;162.86;34.2
1017546;2021;325.37;268.9;56.47
1017547;2021;229.5;189.66;39.84
1017548;2021;83.54;69.03;14.51
1017563;2021;179.7;148.51;31.19
1017564;2021;315.61;260.83;54.78
1017565;2021;192.15;158.8;33.35
1017567;2021;312.45;258.22;54.23
1017569;2021;125.56;103.77;21.79
1017577;2021;245.97;203.28;42.69
1017580;2021;671.86;555.26;116.6
1017586;2021;179.53;148.37;31.16
1017593;2021;161.77;133.69;28.08
1017615;2021;93.92;77.62;16.3
1017628;2021;171.63;141.84;29.79
1017629;2021;16.06;13.27;2.79
1017638;2021;69.4;57.37;12.03
1017640;2021;67.33;55.65;11.68
1017641;2021;108.61;89.76;18.85
1017645;2021;64.31;53.16;11.15
1017650;2021;93.71;77.45;16.26
1017667;2021;885.27;731.63;153.64
1017669;2021;422.5;349.18;73.32
1017670;2021;133.41;110.25;23.16
1017671;2021;222.39;183.79;38.6
1017672;2021;146.33;120.93;25.4
1017674;2021;164.32;135.8;28.52
1017680;2021;163.07;134.77;28.3
1017681;2021;169.75;140.29;29.46
1017683;2021;149.1;123.23;25.87
1017684;2021;65.92;54.48;11.44
1017685;2021;205.5;169.83;35.67
1017688;2021;618.99;511.57;107.42
1017705;2021;435;359.51;75.49
1017709;2021;419.48;346.67;72.81
1017710;2021;2272.35;1877.97;394.38
