DATUM;OPEN;HIGH;LOW;KOERS
2017-05-05;703.45;703.45;703.45;703.45000
2017-05-08;707.61;707.61;707.61;707.61000
2017-05-09;708.8;708.8;708.8;708.80000
2017-05-10;711.27;711.27;711.27;711.27000
2017-05-11;709.79;709.79;709.79;709.79000
2017-05-12;707.01;707.01;707.01;707.01000
2017-05-15;706.68;706.68;706.68;706.68000
2017-05-16;702.08;702.08;702.08;702.08000
2017-05-17;690.02;690.02;690.02;690.02000
2017-05-18;690.66;690.66;690.66;690.66000
2017-05-19;691.48;691.48;691.48;691.48000
2017-05-22;691.99;691.99;691.99;691.99000
2017-05-23;693.9;693.9;693.9;693.90000
2017-05-24;697.03;697.03;697.03;697.03000
2017-05-25;697.81;697.81;697.81;697.81000
2017-05-26;698.79;698.79;698.79;698.79000
2017-05-29;699;699;699;699.00000
2017-05-30;698.51;698.51;698.51;698.51000
2017-05-31;695.18;695.18;695.18;695.18000
2017-06-01;700.62;700.62;700.62;700.62000
2017-06-02;702.07;702.07;702.07;702.07000
2017-06-05;702.23;702.23;702.23;702.23000
2017-06-06;699.34;699.34;699.34;699.34000
2017-06-07;700.05;700.05;700.05;700.05000
2017-06-08;701.33;701.33;701.33;701.33000
2017-06-09;703.31;703.31;703.31;703.31000
2017-06-12;700.73;700.73;700.73;700.73000
2017-06-13;704.13;704.13;704.13;704.13000
2017-06-14;700.68;700.68;700.68;700.68000
2017-06-15;703.41;703.41;703.41;703.41000
2017-06-16;702.93;702.93;702.93;702.93000
2017-06-19;709.57;709.57;709.57;709.57000
2017-06-20;707.25;707.25;707.25;707.25000
2017-06-21;705.23;705.23;705.23;705.23000
2017-06-22;704.87;704.87;704.87;704.87000
2017-06-23;703.36;703.36;703.36;703.36000
2017-06-26;704.14;704.14;704.14;704.14000
2017-06-27;695.46;695.46;695.46;695.46000
2017-06-28;695.73;695.73;695.73;695.73000
2017-06-29;687.8;687.8;687.8;687.80000
2017-06-30;687.92;687.92;687.92;687.92000
2017-07-03;691.62;691.62;691.62;691.62000
2017-07-04;691.99;691.99;691.99;691.99000
2017-07-05;693.86;693.86;693.86;693.86000
2017-07-06;685.49;685.49;685.49;685.49000
2017-07-07;687.56;687.56;687.56;687.56000
2017-07-10;689.12;689.12;689.12;689.12000
